City,County,Population 
Morgan Hill,Santa Clara,"45,037"
Danville,Contra Costa,"44,786"
El Centro,Imperial,"44,364"
Lompoc,Santa Barbara,"43,542"
San Bruno,San Mateo,"43,299"
Rohnert Park,Sonoma,"42,838"
Brea,Orange,"42,777"
Bell Gardens,Los Angeles,"42,747"
Rancho Palos Verdes,Los Angeles,"42,364"
Oakley,Contra Costa,"41,714"
Campbell,Santa Clara,"41,544"
La Quinta,Riverside,"41,304"
San Gabriel,Los Angeles,"40,514"
Calexico,Imperial,"40,351"
La Puente,Los Angeles,"40,322"
Culver City,Los Angeles,"39,283"
Montclair,San Bernardino,"39,276"
Los Banos,Merced,"39,183"
Pacifica,San Mateo,"39,087"
Stanton,Orange,"38,528"
Hollister,San Benito,"38,404"
Martinez,Contra Costa,"38,373"
West Hollywood,Los Angeles,"37,080"
Monrovia,Los Angeles,"37,061"
Wildomar,Riverside,"36,932"
Moorpark,Ventura,"36,802"
Temple City,Los Angeles,"36,367"
San Juan Capistrano,Orange,"36,064"
Claremont,Los Angeles,"36,015"
Manhattan Beach,Los Angeles,"35,924"
Bell,Los Angeles,"35,811"
Pleasant Hill,Contra Costa,"34,987"
Beverly Hills,Los Angeles,"34,484"
Foster City,San Mateo,"34,412"
Menlo Park,San Mateo,"34,357"
San Dimas,Los Angeles,"34,326"
Seaside,Monterey,"34,150"
Adelanto,San Bernardino,"34,066"
Dana Point,Orange,"33,934"
Lawndale,Los Angeles,"33,078"
La Verne,Los Angeles,"32,461"
Paso Robles,San Luis Obispo,"31,918"
Laguna Hills,Orange,"31,318"
Banning,Riverside,"31,230"
San Pablo,Contra Costa,"31,156"
Goleta,Santa Barbara,"31,116"
Saratoga,Santa Clara,"30,905"
Los Altos,Santa Clara,"30,743"
Los Gatos,Santa Clara,"30,724"
Burlingame,San Mateo,"30,686"
San Carlos,San Mateo,"30,499"
Atascadero,San Luis Obispo,"30,418"
Santa Paula,Ventura,"30,313"
Walnut,Los Angeles,"30,199"
East Palo Alto,San Mateo,"29,765"
Suisun City,Solano,"29,639"
Atwater,Merced,"29,397"
Ridgecrest,Kern,"28,880"
Desert Hot Springs,Riverside,"28,757"
Monterey,Monterey,"28,639"
Benicia,Solano,"28,343"
Maywood,Los Angeles,"27,586"
Windsor,Sonoma,"27,548"
Imperial Beach,San Diego,"27,418"
Eureka,Humboldt,"27,177"
Belmont,San Mateo,"27,140"
Lemon Grove,San Diego,"27,108"
Wasco,Kern,"26,994"
